Month,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
May,Porche,Urban,Sunday,Aug,1,Female,Single,18,Policy Holder,Sport - Collision,Sport,60000 to 69000,61835,4,500,3,none,none,1,7 years,18 to 20,Yes,Yes,Internal,none,under 6 months,1 vehicle,Liability
Apr,Mercury,Rural,Tuesday,Apr,3,Male,Married,58,Policy Holder,Utility - Collision,Utility,20000 to 29000,59562,3,500,3,1 to 7,none,none,new,21 to 25,Yes,No,Internal,more than 5,1 year,3 to 4,All Perils
Jul,Mazda,Urban,Saturday,Jan,3,Female,Widow,44,Third Party,Utility - Liability,Sport,more than 69000,29230,5,500,1,15 to 30,15 to 30,none,6 years,21 to 25,No,Yes,Internal,3 to 5,4 to 8 years,more than 8,Liability
Jan,Saturn,Urban,Thursday,Dec,5,Female,Divorced,26,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,45182,2,500,3,15 to 30,15 to 30,none,7 years,51 to 65,Yes,No,External,3 to 5,4 to 8 years,more than 8,All Perils
Oct,Accura,Rural,Tuesday,Oct,2,Female,Single,63,Third Party,Sedan - Collision,Sport,40000 to 59000,17508,6,300,3,more than 30,more than 30,2 to 4,more than 7,16 to 17,No,Yes,External,3 to 5,no change,2 vehicles,Liability
Sep,Nisson,Rural,Monday,Jan,1,Male,Divorced,57,Third Party,Sedan - All Perils,Sport,less than 20000,82143,5,700,3,15 to 30,15 to 30,none,6 years,21 to 25,Yes,Yes,Internal,none,under 6 months,more than 8,All Perils
May,Accura,Urban,Monday,Aug,5,Male,Single,46,Policy Holder,Sedan - Collision,Utility,60000 to 69000,83081,1,400,1,1 to 7,more than 30,1,6 years,51 to 65,No,Yes,External,1 to 2,no change,5 to 8,Collision
Dec,Porche,Urban,Tuesday,May,3,Male,Divorced,49,Policy Holder,Sedan - Collision,Sedan,more than 69000,59516,3,400,2,15 to 30,none,more than 4,3 years,18 to 20,Yes,No,Internal,none,2 to 3 years,3 to 4,All Perils
Jul,Lexus,Rural,Saturday,Sep,4,Male,Divorced,42,Policy Holder,Utility - All Perils,Utility,30000 to 39000,72344,4,300,4,more than 30,more than 30,none,5 years,41 to 50,No,No,Internal,none,under 6 months,3 to 4,Collision
Nov,Accura,Rural,Sunday,0,2,Female,Divorced,57,Third Party,Sedan - Liability,Sport,40000 to 59000,63465,2,300,2,1 to 7,more than 30,more than 4,6 years,18 to 20,Yes,Yes,Internal,3 to 5,under 6 months,more than 8,Liability
Aug,Toyota,Rural,Friday,Nov,3,Female,Divorced,29,Policy Holder,Sport - Collision,Utility,60000 to 69000,52540,6,400,4,more than 30,more than 30,2 to 4,7 years,51 to 65,No,No,Internal,more than 5,2 to 3 years,1 vehicle,All Perils
Sep,Mecedes,Urban,Wednesday,Oct,2,Female,Widow,20,Third Party,Utility - All Perils,Sedan,60000 to 69000,89231,5,500,1,8 to 15,8 to 15,more than 4,4 years,41 to 50,No,No,External,1 to 2,under 6 months,2 vehicles,All Perils
Oct,Mazda,Urban,Thursday,Nov,2,Female,Widow,41,Policy Holder,Sport - Collision,Sedan,more than 69000,63421,6,700,1,none,15 to 30,1,new,over 65,Yes,No,Internal,3 to 5,1 year,3 to 4,Liability
Mar,Jaguar,Rural,Sunday,Mar,1,Female,Widow,24,Policy Holder,Sedan - Liability,Utility,more than 69000,72981,4,300,1,none,more than 30,more than 4,5 years,21 to 25,Yes,No,External,more than 5,1 year,3 to 4,All Perils
Aug,Saturn,Urban,Thursday,May,3,Male,Widow,74,Policy Holder,Sedan - Liability,Sport,less than 20000,50715,2,500,1,none,15 to 30,more than 4,2 years,16 to 17,Yes,Yes,Internal,3 to 5,4 to 8 years,1 vehicle,Liability
Jul,Toyota,Urban,Thursday,Jan,4,Female,Widow,32,Third Party,Utility - Collision,Sport,60000 to 69000,78696,9,700,2,more than 30,15 to 30,none,5 years,31 to 35,Yes,No,Internal,3 to 5,4 to 8 years,3 to 4,Collision
Jun,Lexus,Rural,Saturday,Mar,4,Male,Single,32,Policy Holder,Sport - All Perils,Sport,20000 to 29000,44212,7,400,2,more than 30,more than 30,1,more than 7,16 to 17,Yes,No,External,none,4 to 8 years,1 vehicle,All Perils
Dec,Nisson,Rural,Sunday,0,5,Male,Widow,78,Policy Holder,Sedan - All Perils,Sedan,40000 to 59000,35649,7,300,3,none,8 to 15,more than 4,7 years,41 to 50,Yes,Yes,Internal,3 to 5,2 to 3 years,1 vehicle,All Perils
Dec,Chevrolet,Rural,Monday,Nov,2,Male,Divorced,29,Third Party,Sport - Collision,Sport,30000 to 39000,33232,4,500,3,1 to 7,none,none,4 years,31 to 35,No,No,External,more than 5,under 6 months,1 vehicle,Collision
Aug,Lexus,Rural,Wednesday,Jan,4,Male,Divorced,57,Policy Holder,Utility - Collision,Sport,more than 69000,61168,3,700,2,more than 30,more than 30,none,4 years,31 to 35,No,Yes,Internal,1 to 2,2 to 3 years,5 to 8,All Perils
Oct,Accura,Urban,Monday,Jan,4,Female,Single,22,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,94080,3,300,2,1 to 7,more than 30,1,7 years,51 to 65,Yes,No,Internal,more than 5,no change,2 vehicles,Collision
Oct,Honda,Rural,Monday,Mar,5,Male,Single,30,Policy Holder,Utility - Liability,Sedan,30000 to 39000,37698,8,400,1,8 to 15,8 to 15,2 to 4,4 years,16 to 17,Yes,Yes,External,1 to 2,no change,3 to 4,All Perils
Jul,Ferrari,Rural,Saturday,Aug,5,Male,Divorced,58,Policy Holder,Utility - Collision,Sedan,60000 to 69000,52227,1,400,2,8 to 15,more than 30,1,new,16 to 17,No,No,Internal,1 to 2,no change,more than 8,Liability
Apr,Saab,Rural,Sunday,Aug,5,Male,Single,27,Policy Holder,Utility - All Perils,Sedan,less than 20000,25662,4,400,1,1 to 7,more than 30,more than 4,5 years,18 to 20,No,No,External,more than 5,4 to 8 years,2 vehicles,All Perils
Mar,Nisson,Rural,Wednesday,Aug,5,Male,Widow,30,Third Party,Sport - Liability,Sport,30000 to 39000,76729,8,300,3,15 to 30,8 to 15,more than 4,7 years,36 to 40,Yes,Yes,Internal,3 to 5,no change,2 vehicles,Collision
Jul,Mazda,Rural,Friday,Sep,1,Male,Married,65,Third Party,Sedan - Liability,Sedan,40000 to 59000,43479,9,700,4,15 to 30,more than 30,more than 4,7 years,31 to 35,Yes,Yes,External,1 to 2,under 6 months,more than 8,Liability
Sep,Dodge,Urban,Saturday,Apr,2,Female,Widow,34,Third Party,Utility - Liability,Sedan,more than 69000,98330,4,500,3,15 to 30,none,none,2 years,31 to 35,No,Yes,External,1 to 2,2 to 3 years,3 to 4,Collision
Jul,Nisson,Rural,Friday,Apr,2,Female,Divorced,47,Third Party,Utility - Liability,Sedan,30000 to 39000,72692,8,300,4,15 to 30,none,more than 4,new,36 to 40,No,Yes,External,3 to 5,under 6 months,more than 8,All Perils
Feb,Ferrari,Rural,Wednesday,Feb,3,Male,Divorced,19,Policy Holder,Utility - All Perils,Utility,60000 to 69000,22830,9,700,3,none,more than 30,2 to 4,7 years,21 to 25,Yes,Yes,External,1 to 2,2 to 3 years,5 to 8,Liability
Nov,Accura,Rural,Thursday,Jun,3,Female,Single,72,Policy Holder,Sport - Collision,Sport,40000 to 59000,93328,8,700,4,more than 30,more than 30,1,4 years,16 to 17,Yes,Yes,External,more than 5,4 to 8 years,more than 8,Liability
Apr,Lexus,Rural,Monday,Oct,5,Female,Widow,41,Third Party,Utility - All Perils,Sport,more than 69000,91980,3,700,2,8 to 15,15 to 30,more than 4,3 years,over 65,No,No,Internal,3 to 5,no change,5 to 8,Collision
Oct,Ferrari,Rural,Thursday,Jun,3,Male,Single,80,Policy Holder,Sport - Liability,Utility,30000 to 39000,21336,2,700,3,15 to 30,15 to 30,1,6 years,36 to 40,Yes,No,External,none,1 year,more than 8,Collision
Dec,Ford,Rural,Saturday,Sep,5,Female,Married,0,Third Party,Sedan - Liability,Utility,20000 to 29000,53630,2,400,1,more than 30,none,more than 4,5 years,36 to 40,No,Yes,External,more than 5,1 year,more than 8,Liability
Aug,Pontiac,Urban,Monday,Jul,2,Female,Divorced,19,Policy Holder,Sedan - All Perils,Sport,less than 20000,25555,6,500,1,8 to 15,8 to 15,none,3 years,18 to 20,Yes,Yes,External,1 to 2,2 to 3 years,5 to 8,All Perils
Feb,Jaguar,Rural,Friday,Aug,3,Female,Single,75,Third Party,Utility - All Perils,Sport,20000 to 29000,80039,8,400,1,1 to 7,15 to 30,1,7 years,26 to 30,Yes,No,External,more than 5,no change,more than 8,Collision
Jul,Pontiac,Urban,Saturday,Dec,3,Female,Divorced,39,Policy Holder,Utility - Collision,Utility,30000 to 39000,61152,3,500,1,8 to 15,none,none,more than 7,41 to 50,No,No,Internal,1 to 2,4 to 8 years,2 vehicles,Collision
Apr,Mecedes,Rural,0,0,5,Male,Widow,19,Third Party,Utility - Collision,Sport,60000 to 69000,89649,4,400,4,8 to 15,15 to 30,none,more than 7,36 to 40,Yes,Yes,External,1 to 2,no change,3 to 4,Liability
Sep,Accura,Rural,Saturday,0,5,Female,Single,34,Policy Holder,Sedan - All Perils,Utility,30000 to 39000,43491,6,700,4,1 to 7,more than 30,none,more than 7,16 to 17,No,Yes,Internal,1 to 2,2 to 3 years,2 vehicles,All Perils
Apr,Jaguar,Urban,Friday,Mar,2,Male,Divorced,74,Policy Holder,Sport - Liability,Utility,more than 69000,76784,9,300,4,more than 30,none,more than 4,2 years,16 to 17,No,No,Internal,3 to 5,4 to 8 years,1 vehicle,Liability
Oct,Honda,Rural,Wednesday,Jan,3,Female,Single,18,Third Party,Utility - All Perils,Sedan,30000 to 39000,15073,7,300,2,8 to 15,none,1,more than 7,31 to 35,Yes,Yes,External,more than 5,under 6 months,3 to 4,All Perils
Apr,Jaguar,Rural,Wednesday,Oct,4,Male,Married,48,Policy Holder,Utility - Liability,Utility,less than 20000,50178,4,500,3,1 to 7,none,1,7 years,41 to 50,No,No,Internal,more than 5,under 6 months,5 to 8,Collision
Sep,BMW,Urban,Wednesday,Jun,4,Male,Married,16,Third Party,Sport - Collision,Sedan,20000 to 29000,22812,8,400,4,1 to 7,none,none,6 years,31 to 35,No,Yes,Internal,1 to 2,1 year,3 to 4,Collision
Jul,Nisson,Rural,Sunday,Nov,1,Male,Divorced,18,Third Party,Sedan - All Perils,Sedan,more than 69000,13625,5,700,4,8 to 15,15 to 30,2 to 4,new,36 to 40,Yes,Yes,External,more than 5,2 to 3 years,more than 8,All Perils
Feb,Dodge,Rural,0,0,4,Male,Single,78,Third Party,Sedan - Collision,Sport,60000 to 69000,98550,4,500,1,none,none,1,2 years,31 to 35,Yes,Yes,Internal,more than 5,no change,1 vehicle,All Perils
Sep,Saab,Rural,Tuesday,Sep,5,Female,Married,77,Policy Holder,Utility - All Perils,Sport,60000 to 69000,89754,1,400,3,8 to 15,none,1,2 years,41 to 50,Yes,Yes,Internal,1 to 2,4 to 8 years,more than 8,All Perils
Nov,Pontiac,Urban,Thursday,Apr,4,Male,Married,67,Third Party,Utility - Collision,Sedan,60000 to 69000,40251,2,700,1,1 to 7,more than 30,2 to 4,new,31 to 35,Yes,Yes,External,none,no change,more than 8,Collision
Oct,Saturn,Rural,Tuesday,May,5,Male,Single,58,Policy Holder,Utility - All Perils,Sedan,30000 to 39000,52906,8,300,2,more than 30,more than 30,none,3 years,31 to 35,No,No,External,3 to 5,under 6 months,5 to 8,Collision
Jul,Accura,Urban,Monday,Aug,4,Female,Single,65,Policy Holder,Sedan - All Perils,Sport,40000 to 59000,96652,3,400,3,more than 30,15 to 30,1,5 years,16 to 17,No,Yes,External,3 to 5,no change,1 vehicle,Collision
Sep,BMW,Urban,Sunday,Jul,5,Female,Single,31,Third Party,Sport - Collision,Sedan,20000 to 29000,78895,1,400,2,more than 30,8 to 15,more than 4,3 years,51 to 65,Yes,Yes,Internal,none,1 year,more than 8,Collision
Jul,Ferrari,Urban,Wednesday,Sep,3,Female,Single,79,Third Party,Sedan - Collision,Utility,60000 to 69000,38285,3,400,1,8 to 15,none,more than 4,4 years,51 to 65,Yes,Yes,Internal,3 to 5,under 6 months,more than 8,Liability
Dec,Honda,Rural,Wednesday,Sep,2,Male,Married,39,Third Party,Sedan - All Perils,Utility,more than 69000,14029,4,700,3,8 to 15,more than 30,none,3 years,26 to 30,No,No,Internal,1 to 2,no change,3 to 4,Liability
Feb,Dodge,Rural,Wednesday,Aug,4,Female,Widow,80,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,75337,8,500,3,none,none,1,7 years,36 to 40,No,No,Internal,1 to 2,no change,2 vehicles,Liability
Nov,Saturn,Urban,0,Jun,5,Female,Widow,77,Third Party,Sport - Liability,Utility,less than 20000,14586,6,700,1,more than 30,more than 30,none,7 years,16 to 17,No,No,External,1 to 2,1 year,1 vehicle,All Perils
Aug,Saturn,Rural,0,Nov,1,Male,Divorced,58,Policy Holder,Sport - All Perils,Sedan,20000 to 29000,55755,3,300,4,8 to 15,15 to 30,none,more than 7,26 to 30,No,Yes,External,none,2 to 3 years,more than 8,Liability
Aug,VW,Urban,Sunday,Jun,1,Male,Widow,65,Policy Holder,Sport - Liability,Utility,more than 69000,81000,2,400,4,none,15 to 30,1,4 years,36 to 40,Yes,No,External,none,under 6 months,3 to 4,Collision
Sep,Dodge,Urban,Sunday,Nov,4,Female,Married,80,Third Party,Sport - Collision,Sport,40000 to 59000,21947,7,500,2,1 to 7,15 to 30,1,new,16 to 17,No,Yes,Internal,more than 5,under 6 months,5 to 8,Collision
Feb,VW,Urban,Sunday,Jan,1,Male,Married,39,Policy Holder,Sport - Liability,Sport,more than 69000,19062,9,300,3,more than 30,15 to 30,2 to 4,3 years,over 65,No,Yes,Internal,3 to 5,1 year,3 to 4,Liability
May,Mecedes,Urban,Monday,Jul,5,Male,Divorced,75,Third Party,Sport - All Perils,Sport,40000 to 59000,31302,6,500,4,more than 30,15 to 30,more than 4,4 years,36 to 40,No,Yes,External,more than 5,1 year,1 vehicle,Collision
Jul,Saab,Rural,0,Dec,5,Female,Widow,67,Policy Holder,Sedan - Collision,Utility,60000 to 69000,43274,9,300,4,8 to 15,15 to 30,2 to 4,6 years,51 to 65,Yes,No,Internal,more than 5,no change,3 to 4,Collision
Aug,Mazda,Urban,Friday,Jan,1,Female,Single,47,Third Party,Sport - All Perils,Sedan,40000 to 59000,84833,1,300,3,15 to 30,none,none,4 years,over 65,No,No,Internal,3 to 5,under 6 months,2 vehicles,Liability
Feb,Lexus,Rural,Thursday,Nov,5,Female,Married,31,Policy Holder,Sport - All Perils,Utility,more than 69000,11246,5,300,1,none,none,none,6 years,51 to 65,No,Yes,External,more than 5,4 to 8 years,5 to 8,Collision
Apr,Nisson,Urban,Friday,Aug,3,Male,Divorced,53,Policy Holder,Sport - Liability,Utility,20000 to 29000,50452,6,500,2,1 to 7,none,1,4 years,18 to 20,Yes,Yes,Internal,3 to 5,2 to 3 years,2 vehicles,Collision
Oct,Honda,Urban,Wednesday,May,4,Male,Divorced,16,Policy Holder,Sport - Collision,Utility,more than 69000,67329,2,500,3,more than 30,8 to 15,2 to 4,6 years,26 to 30,No,Yes,External,1 to 2,4 to 8 years,2 vehicles,Collision
Nov,Saab,Rural,Sunday,Sep,5,Female,Single,77,Third Party,Sedan - Collision,Sedan,40000 to 59000,71923,7,500,2,15 to 30,15 to 30,2 to 4,3 years,over 65,No,Yes,External,more than 5,1 year,3 to 4,Liability
Nov,Nisson,Rural,0,Nov,1,Female,Single,19,Third Party,Sport - Liability,Sedan,more than 69000,86357,4,500,1,15 to 30,8 to 15,2 to 4,3 years,51 to 65,No,Yes,Internal,1 to 2,1 year,1 vehicle,All Perils
Nov,Porche,Rural,Friday,Sep,2,Female,Divorced,37,Third Party,Sedan - Collision,Sedan,60000 to 69000,27723,9,300,1,15 to 30,8 to 15,2 to 4,6 years,31 to 35,No,Yes,External,1 to 2,4 to 8 years,5 to 8,All Perils
Aug,Mercury,Rural,Friday,Apr,4,Male,Divorced,68,Third Party,Sedan - All Perils,Utility,20000 to 29000,51087,3,700,3,8 to 15,15 to 30,none,6 years,21 to 25,No,No,Internal,none,1 year,more than 8,Liability
Mar,Saturn,Rural,0,Feb,2,Female,Married,53,Policy Holder,Utility - Liability,Sport,more than 69000,62748,1,700,2,15 to 30,8 to 15,2 to 4,4 years,18 to 20,No,Yes,External,1 to 2,under 6 months,1 vehicle,All Perils
Nov,Saab,Rural,Sunday,May,2,Female,Married,68,Third Party,Sport - All Perils,Sport,20000 to 29000,77353,8,300,4,more than 30,15 to 30,none,7 years,16 to 17,Yes,Yes,External,3 to 5,under 6 months,5 to 8,All Perils
Jul,Jaguar,Urban,Thursday,Jul,1,Male,Divorced,52,Third Party,Utility - Collision,Sedan,40000 to 59000,14481,2,500,2,8 to 15,15 to 30,1,7 years,31 to 35,Yes,Yes,Internal,more than 5,1 year,3 to 4,Collision
Apr,Honda,Urban,Thursday,Aug,2,Female,Widow,20,Third Party,Sedan - All Perils,Sport,30000 to 39000,42644,3,500,2,none,none,more than 4,6 years,31 to 35,Yes,No,External,more than 5,under 6 months,1 vehicle,All Perils
May,Saturn,Urban,Saturday,Nov,5,Male,Married,65,Third Party,Utility - Collision,Sport,less than 20000,47515,1,500,3,more than 30,8 to 15,none,2 years,41 to 50,No,No,Internal,1 to 2,1 year,3 to 4,All Perils
Aug,Jaguar,Rural,Monday,Jun,3,Male,Married,68,Policy Holder,Utility - All Perils,Sedan,20000 to 29000,96680,1,400,4,8 to 15,8 to 15,2 to 4,more than 7,26 to 30,Yes,No,Internal,more than 5,2 to 3 years,3 to 4,Collision
Dec,Ford,Rural,Sunday,Dec,5,Male,Married,78,Third Party,Sport - All Perils,Sedan,20000 to 29000,68954,4,500,4,1 to 7,15 to 30,more than 4,2 years,over 65,No,Yes,External,none,4 to 8 years,3 to 4,All Perils
May,Jaguar,Urban,Wednesday,Oct,2,Female,Married,31,Policy Holder,Utility - Liability,Sport,20000 to 29000,27934,7,700,3,15 to 30,more than 30,none,4 years,over 65,No,No,Internal,none,2 to 3 years,1 vehicle,All Perils
Feb,Saturn,Rural,Wednesday,Nov,5,Male,Married,75,Policy Holder,Sport - Liability,Sedan,40000 to 59000,83764,6,300,4,8 to 15,none,1,2 years,21 to 25,No,Yes,External,none,under 6 months,1 vehicle,Collision
Aug,Jaguar,Rural,Wednesday,Jul,4,Male,Single,27,Third Party,Sedan - All Perils,Sedan,more than 69000,31840,3,300,4,8 to 15,15 to 30,more than 4,5 years,over 65,No,No,External,none,no change,2 vehicles,Liability
Aug,Porche,Rural,Saturday,Aug,1,Female,Divorced,38,Policy Holder,Sport - All Perils,Utility,60000 to 69000,44756,3,500,1,8 to 15,more than 30,2 to 4,6 years,16 to 17,Yes,Yes,Internal,3 to 5,no change,3 to 4,All Perils
Sep,Lexus,Rural,Wednesday,Feb,5,Male,Married,52,Third Party,Sedan - Collision,Sport,less than 20000,29803,1,700,4,none,more than 30,more than 4,6 years,51 to 65,Yes,No,External,more than 5,4 to 8 years,3 to 4,Liability
Oct,Lexus,Urban,Sunday,Mar,1,Female,Divorced,45,Policy Holder,Sedan - Liability,Sedan,more than 69000,44883,8,300,2,8 to 15,none,more than 4,4 years,41 to 50,Yes,Yes,Internal,1 to 2,under 6 months,more than 8,Collision
May,Accura,Rural,Thursday,Mar,2,Female,Divorced,61,Third Party,Sedan - Liability,Sport,30000 to 39000,49071,9,700,2,8 to 15,15 to 30,1,7 years,16 to 17,No,Yes,External,more than 5,no change,5 to 8,Liability
Nov,Mecedes,Rural,Thursday,Jul,4,Male,Divorced,47,Policy Holder,Sedan - Collision,Utility,20000 to 29000,92210,9,400,2,8 to 15,more than 30,1,2 years,21 to 25,Yes,No,External,more than 5,no change,3 to 4,All Perils
Dec,Ford,Urban,Friday,Sep,5,Female,Married,34,Policy Holder,Sport - Liability,Sedan,more than 69000,37111,8,500,4,none,8 to 15,2 to 4,4 years,21 to 25,No,Yes,Internal,none,4 to 8 years,1 vehicle,All Perils
Sep,Accura,Urban,Tuesday,Jun,1,Female,Married,47,Policy Holder,Utility - All Perils,Sport,less than 20000,98800,9,700,3,more than 30,8 to 15,1,3 years,51 to 65,No,No,External,none,4 to 8 years,3 to 4,Liability
Mar,BMW,Rural,Thursday,Jan,1,Female,Widow,53,Third Party,Sedan - All Perils,Sedan,60000 to 69000,68259,4,500,2,8 to 15,8 to 15,1,7 years,18 to 20,Yes,No,External,3 to 5,2 to 3 years,3 to 4,Liability
Oct,Chevrolet,Urban,Sunday,Apr,5,Male,Married,78,Policy Holder,Sport - Liability,Sport,less than 20000,97913,7,700,4,15 to 30,15 to 30,2 to 4,4 years,26 to 30,No,Yes,Internal,none,4 to 8 years,3 to 4,Liability
Aug,Dodge,Urban,Thursday,Aug,1,Female,Married,54,Policy Holder,Utility - Collision,Sedan,less than 20000,97767,3,700,4,more than 30,15 to 30,none,3 years,26 to 30,No,Yes,External,none,no change,more than 8,Liability
Aug,Dodge,Urban,Tuesday,Apr,3,Male,Married,75,Third Party,Sedan - Collision,Utility,40000 to 59000,90729,7,500,2,8 to 15,15 to 30,1,6 years,16 to 17,No,No,Internal,3 to 5,2 to 3 years,3 to 4,All Perils
Sep,Pontiac,Rural,Friday,Aug,4,Male,Widow,78,Third Party,Sport - Liability,Utility,20000 to 29000,40766,1,700,4,15 to 30,8 to 15,none,new,26 to 30,No,No,External,none,no change,more than 8,Collision
Feb,Accura,Urban,Friday,Mar,4,Male,Divorced,61,Policy Holder,Utility - Liability,Sport,60000 to 69000,54629,5,300,3,8 to 15,more than 30,2 to 4,6 years,41 to 50,Yes,Yes,External,1 to 2,2 to 3 years,3 to 4,Collision
Oct,Porche,Rural,Sunday,Jul,1,Male,Widow,27,Policy Holder,Sport - Liability,Sport,less than 20000,48094,5,400,1,15 to 30,none,none,new,36 to 40,Yes,No,Internal,more than 5,2 to 3 years,1 vehicle,All Perils
Dec,Mazda,Rural,Tuesday,Jun,4,Female,Widow,54,Third Party,Sedan - All Perils,Utility,more than 69000,77733,7,500,1,1 to 7,more than 30,none,6 years,over 65,Yes,Yes,Internal,1 to 2,2 to 3 years,1 vehicle,All Perils
Jan,Lexus,Rural,Monday,Jun,5,Male,Divorced,66,Third Party,Sedan - Collision,Sport,30000 to 39000,30271,2,700,3,1 to 7,8 to 15,2 to 4,2 years,over 65,Yes,No,Internal,1 to 2,1 year,5 to 8,Collision
Jun,Mercury,Urban,Tuesday,May,5,Male,Divorced,22,Policy Holder,Sedan - Liability,Sedan,60000 to 69000,18417,6,700,1,1 to 7,none,more than 4,6 years,over 65,Yes,No,Internal,none,4 to 8 years,1 vehicle,Collision
Jul,BMW,Rural,Wednesday,Jul,2,Male,Widow,70,Policy Holder,Utility - All Perils,Sedan,30000 to 39000,49373,9,300,3,15 to 30,15 to 30,none,5 years,26 to 30,No,Yes,Internal,3 to 5,under 6 months,more than 8,Collision
Mar,Pontiac,Rural,Thursday,Jul,4,Male,Single,36,Policy Holder,Sedan - Collision,Sedan,more than 69000,48305,3,300,1,1 to 7,15 to 30,more than 4,more than 7,41 to 50,Yes,Yes,Internal,1 to 2,1 year,3 to 4,Liability
Jul,Ford,Urban,Thursday,Mar,2,Male,Married,50,Third Party,Utility - All Perils,Utility,60000 to 69000,17741,4,700,2,more than 30,8 to 15,more than 4,2 years,21 to 25,No,Yes,Internal,3 to 5,2 to 3 years,3 to 4,Liability
Oct,Mercury,Urban,Tuesday,0,1,Male,Single,42,Third Party,Sedan - All Perils,Utility,30000 to 39000,15664,1,300,4,1 to 7,8 to 15,2 to 4,4 years,18 to 20,No,Yes,External,none,4 to 8 years,3 to 4,Liability
Nov,Saab,Rural,Thursday,Nov,4,Female,Divorced,27,Policy Holder,Utility - Liability,Sport,30000 to 39000,71814,9,300,3,1 to 7,15 to 30,2 to 4,more than 7,16 to 17,Yes,Yes,External,1 to 2,no change,3 to 4,Collision
Jul,Jaguar,Rural,Saturday,Nov,3,Female,Divorced,19,Third Party,Sedan - All Perils,Sedan,60000 to 69000,30821,2,500,2,none,more than 30,1,more than 7,over 65,No,No,Internal,more than 5,2 to 3 years,3 to 4,Collision
